x,y,label
76.409256,-7.488459,STANDING
36.699314,47.51696,STANDING
32.882904,35.283527,STANDING
22.514309,41.08944,STANDING
40.899323,40.029724,STANDING
40.892277,39.974766,STANDING
60.26609,11.177328,STANDING
32.146393,36.91784,STANDING
61.221874,14.188962,STANDING
52.687122,20.271458,STANDING
52.72483,20.229265,STANDING
45.382343,55.99268,STANDING
49.12238,50.2264,STANDING
80.65963,23.202774,STANDING
20.045849,-20.428974,STANDING
64.34446,-20.252298,STANDING
39.30899,37.444054,STANDING
58.73339,15.408855,STANDING
75.159,17.156359,STANDING
76.366196,17.981161,STANDING
79.41337,22.409937,STANDING
79.524666,22.174704,STANDING
80.63079,20.898903,STANDING
80.59652,20.605587,STANDING
79.97588,19.993176,STANDING
79.88309,19.916199,STANDING
80.40044,23.447515,STANDING
-10.395203,15.724681,SITTING
-2.7326767,54.118958,SITTING
0.754449,55.483593,SITTING
-2.4828732,-4.84501,SITTING
-2.5389624,-4.8631625,SITTING
-11.310921,17.406704,SITTING
-0.28497827,50.442356,SITTING
0.4389721,54.923508,SITTING
10.787007,69.83171,SITTING
33.640118,71.307915,SITTING
33.711246,73.43942,SITTING
0.2767737,31.026691,SITTING
-0.23883891,31.083122,SITTING
-0.07477851,34.64084,SITTING
16.809603,59.23071,SITTING
16.883972,59.170555,SITTING
17.474842,58.0972,SITTING
17.666843,56.950657,SITTING
18.633362,61.035934,SITTING
18.637278,61.03604,SITTING
23.65936,60.817326,SITTING
23.093887,61.035446,SITTING
22.940718,61.059666,SITTING
24.106401,60.548008,SITTING
-21.72782,46.296528,LAYING
-32.879414,34.115166,LAYING
-38.669598,30.3902,LAYING
-67.59289,22.58478,LAYING
-69.9257,28.14621,LAYING
-69.17075,28.57157,LAYING
-66.862366,41.118332,LAYING
-71.91317,26.79915,LAYING
-72.64496,26.189243,LAYING
-72.792725,26.182087,LAYING
-72.49808,26.396233,LAYING
-72.25598,26.149118,LAYING
-72.04681,25.993093,LAYING
-20.830812,36.23407,LAYING
-27.706367,30.217703,LAYING
-15.256014,33.24124,LAYING
