x,y,label
-72.14246,10.969059,STANDING
-21.493385,-16.499624,STANDING
-30.275667,-22.443357,STANDING
-23.57598,-27.692856,STANDING
-28.605328,-11.250766,STANDING
-28.696182,-11.224957,STANDING
-54.303913,-0.006275947,STANDING
-28.718306,-24.368477,STANDING
-53.24249,2.003578,STANDING
-53.734383,-19.665972,STANDING
-53.781532,-19.614311,STANDING
-17.676601,-8.42669,STANDING
-20.34999,-4.7345614,STANDING
-43.6869,16.362139,STANDING
-84.96105,-8.861528,STANDING
-83.07349,-1.9415133,STANDING
-30.035906,-17.000858,STANDING
-51.26191,-0.04599819,STANDING
-50.543255,12.744368,STANDING
-50.248013,14.183082,STANDING
-44.219673,15.858448,STANDING
-44.67292,16.033031,STANDING
-46.159126,17.018671,STANDING
-46.361073,16.824965,STANDING
-46.16021,16.203068,STANDING
-46.058056,16.076195,STANDING
-43.11802,16.29298,STANDING
-24.224333,-64.411026,SITTING
-12.99438,-47.68216,SITTING
-9.731629,-44.966106,SITTING
-57.23031,-55.178978,SITTING
-57.212143,-55.25439,SITTING
-25.61752,-63.533833,SITTING
-11.255375,-48.468838,SITTING
-9.884441,-45.593033,SITTING
5.101705,-27.94892,SITTING
0.23261045,-8.513846,SITTING
-1.3650879,-11.576607,SITTING
-21.908665,-55.69612,SITTING
-21.556034,-55.164642,SITTING
-20.209173,-50.336285,SITTING
-6.827957,-27.994352,SITTING
-6.715219,-27.89574,SITTING
-6.1671696,-27.547792,SITTING
-11.2178545,-29.542479,SITTING
-4.361467,-27.726765,SITTING
-4.336932,-27.775877,SITTING
-7.5451927,-23.387072,SITTING
-7.0703816,-23.854763,SITTING
-6.972947,-23.995893,SITTING
-8.082451,-23.197405,SITTING
12.57821,-51.267002,LAYING
18.271807,-37.673077,LAYING
25.45787,-36.471813,LAYING
50.2414,-35.65947,LAYING
52.38113,-40.1347,LAYING
51.76399,-40.059853,LAYING
52.01953,-42.59844,LAYING
53.559395,-39.73957,LAYING
54.150288,-39.412376,LAYING
54.44606,-39.509724,LAYING
54.42601,-39.710117,LAYING
54.10377,-39.446766,LAYING
53.905586,-39.30633,LAYING
8.967931,-42.149704,LAYING
16.296629,-39.54918,LAYING
2.6756651,-44.569344,LAYING
2.6853387,-44.579777,LAYING
10.276819,-49.18954,LAYING
10.894668,-46.50181,LAYING
-20.860239,38.93166,LAYING
-20.865538,38.925167,LAYING
1.5337723,-53.79227,LAYING
2.346016,-58.992523,LAYING
2.5882196,-59.336353,LAYING
54.65291,-57.36937,LAYING
54.618065,-57.03342,LAYING
54.59017,-56.846844,LAYING
47.05727,5.051156,WALKING
47.90686,5.6573586,WALKING
48.948368,5.727506,WALKING
50.50109,7.629291,WALKING
50.072456,7.1070647,WALKING
49.57528,6.294283,WALKING
48.982197,5.922277,WALKING
48.575584,6.199182,WALKING
47.56665,4.9036536,WALKING
47.811638,5.392543,WALKING
47.945026,8.244196,WALKING
48.116913,8.383357,WALKING
49.41871,8.399735,WALKING
49.62357,8.769078,WALKING
51.085037,9.190255,WALKING
51.206066,9.01873,WALKING
51.75903,7.935002,WALKING
50.996155,7.6501737,WALKING
51.570095,6.149803,WALKING
50.2486,4.5697045,WALKING
52.28652,8.117764,WALKING
50.731144,9.994598,WALKING
50.664974,9.919023,WALKING
52.63674,9.476702,WALKING
52.62052,9.208102,WALKING
50.71445,6.3573766,WALKING
50.59571,6.2134056,WALKING
47.73781,7.610947,WALKING
48.38555,7.2756133,WALKING
52.445877,8.335339,WALKING
52.39266,8.074836,WALKING
51.67292,6.6303797,WALKING
51.461784,6.2501183,WALKING
50.98695,11.192978,WALKING
50.866726,10.886069,WALKING
48.027725,8.422719,WALKING
49.511024,7.6973405,WALKING
49.666534,7.405852,WALKING
48.204967,6.499525,WALKING
48.23655,6.2640934,WALKING
48.666443,3.5561795,WALKING
48.62848,3.6269565,WALKING
48.68513,3.958547,WALKING
48.853157,3.1174638,WALKING
49.10936,3.195599,WALKING
49.455284,4.7969418,WALKING
49.105587,4.851705,WALKING
42.15158,35.294136,WALKING_DOWNSTAIRS
42.236477,35.3254,WALKING_DOWNSTAIRS
49.149075,34.007973,WALKING_DOWNSTAIRS
49.11019,34.137844,WALKING_DOWNSTAIRS
45.84509,31.63239,WALKING_DOWNSTAIRS
50.466427,34.294662,WALKING_DOWNSTAIRS
50.446075,34.363533,WALKING_DOWNSTAIRS
43.46363,31.610577,WALKING_DOWNSTAIRS
43.36102,31.686247,WALKING_DOWNSTAIRS
64.44367,20.564734,WALKING_DOWNSTAIRS
49.852577,30.529325,WALKING_DOWNSTAIRS
51.217667,31.13047,WALKING_DOWNSTAIRS
50.63797,32.31217,WALKING_DOWNSTAIRS
47.893806,31.52424,WALKING_DOWNSTAIRS
49.132763,33.214485,WALKING_DOWNSTAIRS
45.393448,33.086365,WALKING_DOWNSTAIRS
45.06672,32.08701,WALKING_DOWNSTAIRS
43.225056,37.16903,WALKING_DOWNSTAIRS
43.241337,37.13306,WALKING_DOWNSTAIRS
50.68076,32.87687,WALKING_DOWNSTAIRS
50.873734,32.82529,WALKING_DOWNSTAIRS
48.045353,34.318592,WALKING_DOWNSTAIRS
48.063145,34.455128,WALKING_DOWNSTAIRS
44.207893,32.30943,WALKING_DOWNSTAIRS
43.98654,32.243877,WALKING_DOWNSTAIRS
-58.35636,70.6184,WALKING_UPSTAIRS
-58.378532,70.81745,WALKING_UPSTAIRS
-54.907524,69.74622,WALKING_UPSTAIRS
-54.98618,69.92162,WALKING_UPSTAIRS
-54.760433,73.89404,WALKING_UPSTAIRS
-56.73222,72.75345,WALKING_UPSTAIRS
-55.399063,74.364456,WALKING_UPSTAIRS
-55.415886,74.81871,WALKING_UPSTAIRS
-58.910202,69.849815,WALKING_UPSTAIRS
-58.61761,70.1037,WALKING_UPSTAIRS
-55.142883,68.910255,WALKING_UPSTAIRS
-55.031094,68.978134,WALKING_UPSTAIRS
-53.921356,71.66982,WALKING_UPSTAIRS
-54.018322,71.6546,WALKING_UPSTAIRS
-53.343693,74.883064,WALKING_UPSTAIRS
-52.918167,75.064354,WALKING_UPSTAIRS
-52.804577,75.09315,WALKING_UPSTAIRS
-58.022747,69.22196,WALKING_UPSTAIRS
-57.61228,69.332535,WALKING_UPSTAIRS
